"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"Extension","Extension","","","",1,1,"","","","null {[]} {[]}
","Propriétés de conciliation d'une ligne de traitement médicamenteux","Propriétés de conciliation d'une ligne de traitement médicamenteux dans une Fiche de Conciliation des Traitements médicamenteux (FCT)","Ces propriétés sont documentées par le pharmacien puis par le prescripteur. C'est la raison pour laquelle chacune a son propre lot de propriétés d'édition (date, statut et auteur(s)). Ces propriétés d'édition sont facultatives pour supporter les cas d'usage qui n'ont pas besoin de ce niveau de finesse. Par exemple, transmettre une fiche de conciliation complète et validée, cosignée du pharmacien et du prescripteur, d'un logiciel de conciliation au DPI sans qu'il n'y ait de dialogue entre les deux logiciels.
Une ligne de Fiche de Conciliation des Traitements médicamenteux doit être crée avec au moins les deux propriétés *status* et *isDiscrepant* renseignées, cardinalité minimale 2. Le nombre de *comment* est indéterminé, cardinalité maximale *.","","","","","","","","",,,,,"",,,,"Extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:type.extension:value.extension:edStatus","Extension.extension.extension.extension","edStatus","","",0,1,"","","","Extension {[]} {[]}
","statut éditorial (codé) de la propriété *type*","statut éditorial (code) de l'information portée par l'élément *type* de l'extension ReconciliationProperties de la ressource MedicationStatement de la Fiche de Conciliation des Traitements médicamenteux, à la date d'édition *date* définie par son ou ses auteurs *author* dans son cycle d'édition","Facultatif si ce niveau de finesse n'est pas requis. Par défaut, pas de gestion du statut éditorial de la valeur de la propriété *type* de la ligne de médicament dans la Fiche de Conciliation des Traitements médicamenteux.","discriminer les statuts (phases) d'édition de chacune des propriétés de la Fiche de Conciliation des Traitements médicamenteux","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:type.extension:value.extension:edStatus.id","Extension.extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:type.extension:value.extension:edStatus.extension","Extension.extension.extension.extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:type.extension:value.extension:edStatus.url","Extension.extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""edStatus""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:type.extension:value.extension:edStatus.value[x]","Extension.extension.extension.extension.value[x]","","","",1,1,"","","","code {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,"required","","http://interopsante.org/fhir/ValueSet/fr-editorial-status","",,,,"Extension.value[x]",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","N/A"
"Extension.extension:type.extension:value.extension:author","Extension.extension.extension.extension","author","","",0,*,"","","","Extension {[]} {[]}
","auteur(s) de la propriété *type*","auteur(s) de l'information portée par l'élément *type* de l'extension ReconciliationProperties de la ressource MedicationStatement de la Fiche de Conciliation des Traitements médicamenteux, au statut éditorial *edStatus* et à la date d'édition *date* définis par son ou ses auteurs dans son cycle d'édition.","Facultatif si ce niveau de finesse n'est pas requis. Par défaut, les auteurs de la Fiche de Conciliation des Traitements médicamenteux, cf. ressource Composition.author","discriminer les auteurs de chacune des propriétés de la Fiche de Conciliation des Traitements médicamenteux","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:type.extension:value.extension:author.id","Extension.extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:type.extension:value.extension:author.extension","Extension.extension.extension.extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:type.extension:value.extension:author.url","Extension.extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""author""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:type.extension:value.extension:author.value[x]","Extension.extension.extension.extension.value[x]","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://hl7.fr/ig/fhir/core/StructureDefinition/fr-core-practitioner-role-profession]]}
","identité de l'auteur par son rôle et, de préférence, aussi sa personne","identité de l'auteur avec son rôle (pharmacien ou médecin) et, de préférence, aussi sa personne (Dr UNTEL).","PrationerRole avec référence à Practioner (si pas de practioner référencé --> identification ès qualités du professionnel de santé -que par son rôle)","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","N/A"
"Extension.extension:type.extension:value.url","Extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""value""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:type.extension:value.value[x]","Extension.extension.extension.value[x]","","","",0,0,"","","","base64Binary {[]} {[]}
boolean {[]} {[]}canonical {[]} {[]}code {[]} {[]}date {[]} {[]}dateTime {[]} {[]}decimal {[]} {[]}id {[]} {[]}instant {[]} {[]}integer {[]} {[]}markdown {[]} {[]}oid {[]} {[]}positiveInt {[]} {[]}string {[]} {[]}time {[]} {[]}unsignedInt {[]} {[]}uri {[]} {[]}url {[]} {[]}uuid {[]} {[]}Address {[]} {[]}Age {[]} {[]}Annotation {[]} {[]}Attachment {[]} {[]}CodeableConcept {[]} {[]}Coding {[]} {[]}ContactPoint {[]} {[]}Count {[]} {[]}Distance {[]} {[]}Duration {[]} {[]}HumanName {[]} {[]}Identifier {[]} {[]}Money {[]} {[]}Period {[]} {[]}Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}Reference {[]} {[]}SampledData {[]} {[]}Signature {[]} {[]}Timing {[]} {[]}ContactDetail {[]} {[]}Contributor {[]} {[]}DataRequirement {[]} {[]}Expression {[]} {[]}ParameterDefinition {[]} {[]}RelatedArtifact {[]} {[]}TriggerDefinition {[]} {[]}UsageContext {[]} {[]}Dosage {[]} {[]}Meta {[]} {[]}","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","N/A"
"Extension.extension:type.url","Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""type""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:type.value[x]","Extension.extension.value[x]","","","",0,0,"","","","base64Binary {[]} {[]}
boolean {[]} {[]}canonical {[]} {[]}code {[]} {[]}date {[]} {[]}dateTime {[]} {[]}decimal {[]} {[]}id {[]} {[]}instant {[]} {[]}integer {[]} {[]}markdown {[]} {[]}oid {[]} {[]}positiveInt {[]} {[]}string {[]} {[]}time {[]} {[]}unsignedInt {[]} {[]}uri {[]} {[]}url {[]} {[]}uuid {[]} {[]}Address {[]} {[]}Age {[]} {[]}Annotation {[]} {[]}Attachment {[]} {[]}CodeableConcept {[]} {[]}Coding {[]} {[]}ContactPoint {[]} {[]}Count {[]} {[]}Distance {[]} {[]}Duration {[]} {[]}HumanName {[]} {[]}Identifier {[]} {[]}Money {[]} {[]}Period {[]} {[]}Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}Reference {[]} {[]}SampledData {[]} {[]}Signature {[]} {[]}Timing {[]} {[]}ContactDetail {[]} {[]}Contributor {[]} {[]}DataRequirement {[]} {[]}Expression {[]} {[]}ParameterDefinition {[]} {[]}RelatedArtifact {[]} {[]}TriggerDefinition {[]} {[]}UsageContext {[]} {[]}Dosage {[]} {[]}Meta {[]} {[]}","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","N/A"
"Extension.extension:outcome","Extension.extension","outcome","","",0,1,"","","","Extension {[]} {[]}
","gravité estimée de la divergence identifiée sur la ligne de traitement","gravité estimée de la divergence, intitulé « Gravité de l’erreur » dans [le guide de la HAS](https://www.has-sante.fr/jcms/c_2736442/fr/mettre-en-oeuvre-la-conciliation-des-traitements-medicamenteux-en-etablissement-de-sante) : { mineure ; significative ; majeure ; critique ; catastrophique }","Cette propriété pourrait ne pas être limitée aux seules DNI (divergences non-intensionnelles)","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:outcome.id","Extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:outcome.extension","Extension.extension.extension","","","",1,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:outcome.extension:value","Extension.extension.extension","value","","",1,*,"","","","Extension {[]} {[]}
","valeur codée de la propriété *outcome*","valeur codée (coding) de la propriété *outcome* de la ressource MedicationStatement de la Fiche de Conciliation des Traitements médicamenteux, avec ses propriétés d'édition *edStatut*\, *date*\, *author*\(s).","Cardinalité [1..\*] car la valeur de la propriété *status* peut évoluer et ses propriétés d'édition *edStatus* et *author* à *date* donnée aussi.","Qualifier la gravité de l'écart/erreur sur la ligne de traitement de la Fiche de Conciliation des Traitements médicamenteux par une valeur codée tirée d'un jeu de valeurs contraint.","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:outcome.extension:value.id","Extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:outcome.extension:value.extension","Extension.extension.extension.extension","","","",1,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:outcome.extension:value.extension:code","Extension.extension.extension.extension","code","","",1,1,"","","","Extension {[]} {[]}
","valeur codée de la propriété *outcome*","valeur codée (coding) de la propriété *outcome* de la ressource MedicationStatement de la Fiche de Conciliation des Traitements médicamenteux avec ses propriétés d'édition edStatut, date, author(s).","La valeur codée de la propriété *outcome* de la ligne de traitement la Fiche de Conciliation des Traitements médicamenteux est obligatoire.","Contraindre l'usage d'une valeur codée et de son jeu de valeurs.","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:outcome.extension:value.extension:code.id","Extension.extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:outcome.extension:value.extension:code.extension","Extension.extension.extension.extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:outcome.extension:value.extension:code.url","Extension.extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""code""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:outcome.extension:value.extension:code.value[x]","Extension.extension.extension.extension.value[x]","","","",1,1,"","","","Coding {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,"required","fr-medication-reconciliation-outcome","http://interopsante.org/fhir/ValueSet/fr-medication-reconciliation-outcome","",,,,"Extension.value[x]",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","N/A"
"Extension.extension:outcome.extension:value.extension:date","Extension.extension.extension.extension","date","","",0,1,"","","","Extension {[]} {[]}
","date d'édition de la propriété *outcome*","date d'édition de l'information portée par l'élément *outcome*de l'extension ReconciliationProperties de la ressource MedicationStatement de la Fiche de Conciliation des Traitements médicamenteux, au statut éditorial *edStatus* défini par son ou ses auteurs *author* dans son cycle d'édition.","Facultatif si ce niveau de finesse n'est pas requis. Par défaut, date d'édition de la Fiche de Conciliation des Traitements médicamenteux, cf. ressource Composition.date","discriminer les dates d'édition de chacune des propriétés de la Fiche de Conciliation des Traitements médicamenteux","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:outcome.extension:value.extension:date.id","Extension.extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:outcome.extension:value.extension:date.extension","Extension.extension.extension.extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:outcome.extension:value.extension:date.url","Extension.extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""date""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:outcome.extension:value.extension:date.value[x]","Extension.extension.extension.extension.value[x]","","","",1,1,"","","","dateTime {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","N/A"
"Extension.extension:outcome.extension:value.extension:edStatus","Extension.extension.extension.extension","edStatus","","",0,1,"","","","Extension {[]} {[]}
","statut éditorial (codé) de la propriété *outcome*","statut éditorial (code) de l'information portée par l'élément *outcome* de l'extension ReconciliationProperties de la ressource MedicationStatement de la Fiche de Conciliation des Traitements médicamenteux, à la date d'édition *date* définie par son ou ses auteurs *author* dans son cycle d'édition","Facultatif si ce niveau de finesse n'est pas requis. Par défaut, pas de gestion du statut éditorial de la valeur de la propriété *outcome* de la ligne de médicament dans la Fiche de Conciliation des Traitements médicamenteux.","discriminer les statuts (phases) d'édition de chacune des propriétés de la Fiche de Conciliation des Traitements médicamenteux","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:outcome.extension:value.extension:edStatus.id","Extension.extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:outcome.extension:value.extension:edStatus.extension","Extension.extension.extension.extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:outcome.extension:value.extension:edStatus.url","Extension.extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""edStatus""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:outcome.extension:value.extension:edStatus.value[x]","Extension.extension.extension.extension.value[x]","","","",1,1,"","","","code {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,"required","fr-editorial-status","http://interopsante.org/fhir/ValueSet/fr-editorial-status","",,,,"Extension.value[x]",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","N/A"
"Extension.extension:outcome.extension:value.extension:author","Extension.extension.extension.extension","author","","",0,*,"","","","Extension {[]} {[]}
","auteur(s) de la propriété *outcome*","auteur(s) de l'information portée par l'élément *outcome* de l'extension ReconciliationProperties de la ressource MedicationStatement de la Fiche de Conciliation des Traitements médicamenteux, au statut éditorial *edStatus* et à la date d'édition *date* définis par son ou ses auteurs dans son cycle d'édition.","Facultatif si ce niveau de finesse n'est pas requis. Par défaut, les auteurs de la Fiche de Conciliation des Traitements médicamenteux, cf. ressource Composition.author","discriminer les auteurs de chacune des propriétés de la Fiche de Conciliation des Traitements médicamenteux","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:outcome.extension:value.extension:author.id","Extension.extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:outcome.extension:value.extension:author.extension","Extension.extension.extension.extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:outcome.extension:value.extension:author.url","Extension.extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""author""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:outcome.extension:value.extension:author.value[x]","Extension.extension.extension.extension.value[x]","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://hl7.fr/ig/fhir/core/StructureDefinition/fr-core-practitioner-role-profession]]}
","identité de l'auteur par son rôle et, de préférence, aussi sa personne","identité de l'auteur avec son rôle (pharmacien ou médecin) et, de préférence, aussi sa personne (Dr UNTEL).","PrationerRole avec référence à Practioner (si pas de practioner référencé --> identification ès qualités du professionnel de santé -que par son rôle)","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","N/A"
"Extension.extension:outcome.extension:value.url","Extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""value""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:outcome.extension:value.value[x]","Extension.extension.extension.value[x]","","","",0,0,"","","","base64Binary {[]} {[]}
boolean {[]} {[]}canonical {[]} {[]}code {[]} {[]}date {[]} {[]}dateTime {[]} {[]}decimal {[]} {[]}id {[]} {[]}instant {[]} {[]}integer {[]} {[]}markdown {[]} {[]}oid {[]} {[]}positiveInt {[]} {[]}string {[]} {[]}time {[]} {[]}unsignedInt {[]} {[]}uri {[]} {[]}url {[]} {[]}uuid {[]} {[]}Address {[]} {[]}Age {[]} {[]}Annotation {[]} {[]}Attachment {[]} {[]}CodeableConcept {[]} {[]}Coding {[]} {[]}ContactPoint {[]} {[]}Count {[]} {[]}Distance {[]} {[]}Duration {[]} {[]}HumanName {[]} {[]}Identifier {[]} {[]}Money {[]} {[]}Period {[]} {[]}Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}Reference {[]} {[]}SampledData {[]} {[]}Signature {[]} {[]}Timing {[]} {[]}ContactDetail {[]} {[]}Contributor {[]} {[]}DataRequirement {[]} {[]}Expression {[]} {[]}ParameterDefinition {[]} {[]}RelatedArtifact {[]} {[]}TriggerDefinition {[]} {[]}UsageContext {[]} {[]}Dosage {[]} {[]}Meta {[]} {[]}","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","N/A"
"Extension.extension:outcome.url","Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""outcome""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:outcome.value[x]","Extension.extension.value[x]","","","",0,0,"","","","base64Binary {[]} {[]}
boolean {[]} {[]}canonical {[]} {[]}code {[]} {[]}date {[]} {[]}dateTime {[]} {[]}decimal {[]} {[]}id {[]} {[]}instant {[]} {[]}integer {[]} {[]}markdown {[]} {[]}oid {[]} {[]}positiveInt {[]} {[]}string {[]} {[]}time {[]} {[]}unsignedInt {[]} {[]}uri {[]} {[]}url {[]} {[]}uuid {[]} {[]}Address {[]} {[]}Age {[]} {[]}Annotation {[]} {[]}Attachment {[]} {[]}CodeableConcept {[]} {[]}Coding {[]} {[]}ContactPoint {[]} {[]}Count {[]} {[]}Distance {[]} {[]}Duration {[]} {[]}HumanName {[]} {[]}Identifier {[]} {[]}Money {[]} {[]}Period {[]} {[]}Quantity {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}Reference {[]} {[]}SampledData {[]} {[]}Signature {[]} {[]}Timing {[]} {[]}ContactDetail {[]} {[]}Contributor {[]} {[]}DataRequirement {[]} {[]}Expression {[]} {[]}ParameterDefinition {[]} {[]}RelatedArtifact {[]} {[]}TriggerDefinition {[]} {[]}UsageContext {[]} {[]}Dosage {[]} {[]}Meta {[]} {[]}","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R4/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a","N/A"
